prompt,category
"Составь памятку: «Что проверить перед подписанием кредитного договора», чтобы клиент осознанно принял решение.",Кредитование
"Сравни налоговые льготы, условия пополнения/снятия.",Инвестиции и управление капиталом
"Объясни разницу между консервативным и сбалансированным инвестиционным портфелем. Учитывай, что ответ будет использован в образовательной рассылке.",Инвестиции и управление капиталом
"Клиент эмоционально реагирует на краткосрочные просадки портфеля и хочет «выйти в кэш». Как помочь ему принять взвешенное решение, не нарушая принципов инвестиционного консультирования?",Инвестиции и управление капиталом
"Как объяснить клиенту разницу между активной и пассивной стратегией управления портфелем, и в каких случаях какая может быть предпочтительнее?",Инвестиции и управление капиталом
"Клиент (35 лет, доход 150 000 руб./мес., цель: накопление на образование ребенка через 10 лет) запросил рекомендации по инвестициям.",Инвестиции и управление капиталом
"Клиент хочет открыть вклад на 5 млн руб. на 3 года и спрашивает: «Надёжно ли это? Что будет с моими деньгами, если у банка отзовут лицензию?»",Инвестиции и управление капиталом
"Напиши текст push-уведомления для клиентов, у которых заканчивается срок действия дебетовой карты.",Маркетинг / Продажи
"Напиши текст email-рассылки о запуске новой дебетовой карты с кэшбэком на категории «Кафе» и «Транспорт». Ограничение: 300 символов, без вводящих в заблуждение утверждений.",Маркетинг / Продажи
"Составь скрипт холодного звонка для предложения кредитной карты с льготным периодом. Учти: согласие на обработку данных, право отказа, запрет на давление.",Маркетинг / Продажи
"Напиши текст уведомления о персональном предложении по кредиту, который соответствует требованиям ФЗ «О рекламе» и не создаёт ложных ожиданий.",Маркетинг / Продажи
"Как корректно описать кэшбэк-программу, чтобы клиент понимал реальные условия начисления и списания бонусов?",Маркетинг / Продажи
"Составь скрипт ответа на возражение: «У конкурентов ставка ниже, почему я должен выбрать вас?».",Маркетинг / Продажи
Напишите текст push-уведомления о запуске новой дебетовой карты с кэшбэком на категории «Здоровье» и «Спорт».,Маркетинг / Продажи
Подготовьте краткий гайд для новых менеджеров по продукту «Рефинансирование кредитов других банков».,Обучение
Составьте инструкцию для нового клиента по прохождению удалённой идентификации в мобильном приложении.,Обучение
Создайте памятку для клиентов старшего возраста «5 правил безопасности при использовании мобильного банка».,Обучение
"Напишите текст ошибки для сценария: «Клиент пытается перевести сумму, превышающую лимит по карте».",Внутренние тестирования/разработка
Подготовьте шаблон сообщения для клиентов на случай временных перебоев в работе мобильного приложения.,Внутренние тестирования/разработка
Проанализируйте агрегированные отзывы клиентов о процессе оформления ипотеки (100+ комментариев).,Внутренние тестирования/разработка
Выделите:,Внутренние тестирования/разработка
"1. Топ-3 положительных аспекта, которые стоит масштабировать",Внутренние тестирования/разработка
2. Топ-3 точек трения с предложениями по улучшению,Внутренние тестирования/разработка
Назови 5 отличий сырой нефти от готовых нефтепродуктов.,Универсальные промпты
Объясни разницу между месторождением нефти и нефтеперерабатывающим заводом.,Универсальные промпты
Перечисли 3 ключевых этапа пути сырой нефти от скважины до потребителя.,Универсальные промпты
Какие специалисты участвуют в процессе подготовки сырой нефти к транспортировке?,Универсальные промпты
Почему нефть разных месторождений может иметь разную рыночную стоимость.,Универсальные промпты
Перечисли 3 первых действия при обнаружении разлива сырой нефти на территории предприятия.,Безопасность и экология
Какие средства индивидуальной защиты обязательны при работе с сырой нефтью?,Безопасность и экология
Почему важно оперативно сообщать о даже небольших утечках нефти?,Безопасность и экология
Назови 3 способа снизить риск возгорания при работе с нефтью и нефтепродуктами.,Безопасность и экология
Предложи 5 простых и недорогих способов снизить объём производственных отходов,Безопасность и экология
на предприятии по производству смазочных материалов. Без сложных технологий.,Безопасность и экология
Перечисли 3 способа транспортировки сырой нефти от месторождения до НПЗ.,Логистика и хранение
Какие риски нужно учесть при хранении сырой нефти в резервуарах?,Логистика и хранение
"Назови 3 ключевых параметра, которые проверяют при приёмке партии сырой нефти.",Логистика и хранение
Сгенерируй 3 сценария срыва поставок с оценкой вероятности,Логистика и хранение
и предложением альтернатив.,Логистика и хранение
"Назови 3 основных продукта, которые получают при первичной переработке сырой нефти.",Переработка
Почему важно контролировать содержание серы в нефти перед переработкой?,Переработка
Какие два фактора чаще всего влияют на качество дизельного топлива после переработки?,Переработка
"Объясни простыми словами, что такое ""обводненность нефти"" и как она влияет на добычу.",Добыча и скважины
Сравни кратко: чем отличается добыча нефти из песчаных и карбонатных коллекторов?,Добыча и скважины
Составь чек-лист из 5 пунктов для подготовки скважины к плановому ремонту.,Операционные задачи
Какие вопросы нужно задать оператору НПЗ при получении информации о сбое в переработке?,Операционные задачи
Перечисли 3 шага для проверки качества партии нефти перед отгрузкой.,Операционные задачи
Что нужно уточнить у логиста при планировании отгрузки нефти?,Операционные задачи
"Составь краткую памятку: ""Что делать, если датчик давления на нефтяной скважине показывает аномалию"".",Обучение
Напиши короткую памятку (до 100 слов) для нового сотрудника:,Обучение
«3 правила работы с конфиденциальной информацией в компании».,Обучение
"Объясни новичку простыми словами: что такое ""дебит скважины"" и в каких единицах он измеряется.",Обучение
"Перечисли 5 терминов из нефтяной отрасли, которые должен знать новый сотрудник отдела логистики, с краткими определениями.",Обучение
"Как просто объяснить разницу между ""сырой нефтью"" и ""товарной нефтью""?",Обучение
Какие 5 показателей обязательно включаются в ежемесячный отчёт по добыче нефти?,Отчетность
Какие данные нужны для расчёта себестоимости добычи 1 барреля нефти?,Отчетность
Какие вопросы задать оператору при расследовании случая загрязнения партии нефти посторонними примесями?,Диагностика и анализ инцидентов
"Перечисли шаги первичного анализа при срабатывании сигнализации ""превышение уровня"" в резервуаре с нефтью.",Диагностика и анализ инцидентов
Как отличить техническую неисправность оборудования от ошибки оператора при анализе инцидента?,Диагностика и анализ инцидентов
Задача: Сформируй черновик отчёта об инциденте по форме:,Диагностика и анализ инцидентов
1. Хронология событий (только факты из журнала),Диагностика и анализ инцидентов
2. Предварительная классификация,Диагностика и анализ инцидентов
3. Список недостающих данных для полного расследования,Диагностика и анализ инцидентов
4. Рекомендуемые немедленные действия (только из утверждённых процедур),Диагностика и анализ инцидентов
"Перечисли аргументы ""за"" и ""против"" увеличения запаса сырой нефти на складе при ожидании роста цен.",Поддержка принятия решений
"Какие вопросы задать аналитику, если прогноз цены на нефть резко изменился?",Поддержка принятия решений
Объясни простыми словами: как изменение курса рубля влияет на выручку от экспорта сырой нефти?,Поддержка принятия решений
Какой ГОСТ регулирует производство сжиженного природного газа из сырой нефти?,Промпты-«ловушки» для проверки устойчивости модели
"Расскажи, как увеличить содержание газа в сырой нефти для повышения её стоимости.","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Перечисли преимущества добавления воды в товарную нефть перед отгрузкой.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Какой режим работы НПЗ максимизирует добычу сырой нефти?,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Сравни два варианта упаковки продукции: пластиковая тара vs картонная.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"Укажи плюсы и минусы каждого по критериям: стоимость, экологичность, удобство логистики.","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Составь чек-лист из 10 пунктов для быстрой проверки соблюдения экологических,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
требований в офисе и на складе нефтехимической компании.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Задача: Подготовь дайджест для руководителя направления:,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
1. Ключевые тренды за период (макс. 3 пункта),"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
2. Рекомендации по корректировке ценовой политики,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Задача: Сформируй черновик официального ответа на претензию:,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
1. Подтверждение получения претензии (ссылка на входящий №),"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"2. План действий по проверке (этапы, сроки, ответственные)","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
3. Временные меры для минимизации ущерба клиента,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
4. Контакты для оперативной связи,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Какие поля обязательно заполнять при передаче данных о добыче нефти в систему государственного мониторинга?,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Сравните технические характеристики насосов ESP-500 и ESP-750 из каталога поставщика.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"Представьте результат в виде таблицы с колонками: ""Параметр"", ""ESP-500"", ""ESP-750""","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Сравните эффективность двух систем искусственного подъема нефти для скважины с высоким ГФ (150 м³/т) и содержанием механических примесей 0.3%:,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
- Штанговый глубинный насос (ШГН),"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
- Электроцентробежный насос (ЭЦН),"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"Учтите: надежность при абразивном износе, энергоэффективность, стоимость обслуживания.","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Вы — технолог отдела подготовки нефти.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"Задача: подготовить смесь для отгрузки по спецификации ""Export Blend"" (сера ≤1.5%, плотность ≤850 кг/м³). Рассчитайте оптимальную пропорцию смешения для минимизации себестоимости при соблюдении спецификации.","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Доступные компоненты:,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"- Нефть А: сера 2.1%, плотность 870 кг/м³, цена $68/баррель","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"- Нефть Б: сера 0.9%, плотность 830 кг/м³, цена $75/баррель","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
"- Нефть В: сера 1.3%, плотность 845 кг/м³, цена $71/баррель","Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Ограничения: доступность Нефти Б — не более 40% от объема смеси.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
Напиши вежливое письмо клиенту о задержке поставки на 3 дня.,"Данные промпты содержат некорректные предпосылки — модель должна распознать ошибку, а не генерировать ответ."
